rehearsal_event_id,rehearsal_session_id,guard_event_id,source_cluster_id,family_event_id,decision_bar_time,broker_day,symbol,direction,guard_decision,guard_block_reason,rehearsal_event_type,rehearsal_action,synthetic_net_r,running_rehearsal_equity_r,running_rehearsal_drawdown_r,daily_lock_active_after_event,portfolio_lock_active_after_event,demo_authorized,can_start_real_demo,mt5_runtime_touched,broker_action_code_allowed,rehearsal_notes
PH3REHEARSAL00001,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00001,WS001,FAM00001,2026.05.22 11:25:00,2026.05.22,XAUUSD,SHORT,GUARDED_SYNTHETIC_OPEN,,REHEARSAL_SHADOW_OPEN,record_shadow_intent_without_broker_side_effect,0.0000,0.0000,0.0000,false,false,false,false,false,false,Rehearsal records an intent only; no broker-side effect is allowed.
PH3REHEARSAL00002,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00001,WS001,FAM00001,2026.05.22 11:25:00,2026.05.22,XAUUSD,SHORT,GUARDED_SYNTHETIC_OPEN,,REHEARSAL_SHADOW_CLOSE,record_shadow_close_synthetic_stop_hit,-1.2529,-1.2529,-1.2529,false,false,false,false,false,false,Rehearsal closes the synthetic lifecycle record only.
PH3REHEARSAL00003,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00002,WS002,FAM00001,2026.05.22 11:25:00,2026.05.22,XAUUSD,SHORT,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-1.2529,-1.2529,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00004,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00003,WS003,FAM00002,2026.05.22 11:50:00,2026.05.22,XAUUSD,LONG,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-1.2529,-1.2529,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00005,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00004,WS004,FAM00002,2026.05.22 11:50:00,2026.05.22,XAUUSD,LONG,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-1.2529,-1.2529,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00006,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00005,WS005,FAM00003,2026.05.22 12:45:00,2026.05.22,XAUUSD,LONG,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-1.2529,-1.2529,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00007,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00006,WS006,FAM00003,2026.05.22 12:45:00,2026.05.22,XAUUSD,LONG,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-1.2529,-1.2529,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00008,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00007,WS007,FAM00004,2026.05.22 12:50:00,2026.05.22,XAUUSD,LONG,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-1.2529,-1.2529,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
PH3REHEARSAL00009,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00008,WS008,FAM00004,2026.05.22 12:50:00,2026.05.22,XAUUSD,LONG,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,REHEARSAL_NO_EXPOSURE,record_review_only_no_exposure,0.0000,-1.2529,-1.2529,false,false,false,false,false,false,Rehearsal keeps this row review-only with no exposure.
PH3REHEARSAL00010,phase3-demo-rehearsal-side-experiment-v0,PH3GUARD00009,WS009,FAM00005,2026.05.22 14:05:00,2026.05.22,XAUUSD,SHORT,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,REHEARSAL_BLOCKED_RISK,record_risk_block_and_no_exposure,0.0000,-1.2529,-1.2529,false,false,false,false,false,false,Rehearsal blocks exposure for risk control: daily_worst_case_loss_budget_would_breach.
